huc12,duration_hours,is_monotonic,minimum_mm,maximum_mm,threshold_count
031300040405,72,True,124.00187433432421,531.528547128843,10
031300040501,1,True,43.12457053980603,126.16481368265242,10
031300040501,3,True,60.339073393023256,188.7270815024578,10
031300040501,6,True,71.65320982127031,255.07197510474606,10
031300040501,24,True,96.4584408033675,424.5275375473076,10
031300040501,72,True,123.99232981926589,519.0968842059287,10
031300040502,1,True,42.893134097177615,129.79781727571486,10
031300040502,3,True,59.92317232922907,199.09615398876645,10
031300040502,6,True,71.46632485613773,270.23658172875037,10
031300040502,24,True,97.17815340106739,441.2958997978037,10
031300040502,72,True,124.5320937725794,535.997876586633,10
031300040504,1,True,43.59409968881335,126.13383314340585,10
031300040504,3,True,60.93206047153483,190.5685400892985,10
031300040504,6,True,72.25723020123448,258.44858988662605,10
031300040504,24,True,97.10831487851007,428.6458017905056,10
031300040504,72,True,124.42971401004311,521.7264060862468,10
031300040601,1,True,43.68730284333363,134.3006858430385,10
031300040601,3,True,60.69975816225245,217.35142870412335,10
031300040601,6,True,72.39827904586373,297.68377843285157,10
031300040601,24,True,98.26344356908632,468.3825158115774,10
031300040601,72,True,123.78786427661083,560.9513510486516,10
031300040602,1,True,43.55503433124866,137.12422514843914,10
031300040602,3,True,60.5891777762566,223.02698455554054,10
031300040602,6,True,72.38874807498732,305.07345427216865,10
031300040602,24,True,98.67089909772672,476.4449628486027,10
031300040602,72,True,124.34094185976593,569.382617125304,10
031300040603,1,True,43.225352321629806,135.1607790449195,10
031300040603,3,True,60.17165618207189,216.47983428184878,10
031300040603,6,True,71.9125878861116,295.61725495016407,10
031300040603,24,True,98.24375128779376,466.9059512860973,10
031300040603,72,True,124.40001856391079,559.6350271820877,10
031300040604,1,True,42.83799974244485,135.02476618038324,10
031300040604,3,True,59.71470186440779,214.31043283292084,10
031300040604,6,True,71.49283006003675,292.13569377631194,10
031300040604,24,True,98.12810494857546,463.94855900699906,10
031300040604,72,True,124.89176093226504,557.7026628442981,10
031300040605,1,True,42.84587592497643,132.28546107550707,10
031300040605,3,True,59.7949256803263,206.25957035404173,10
031300040605,6,True,71.46116387157313,280.58911757392866,10
031300040605,24,True,97.6775456505762,452.18579985756924,10
031300040605,72,True,124.7702991200917,546.496579233456,10
031300040606,1,True,43.534665547283055,130.89057355899212,10
031300040606,3,True,60.6207401346186,205.8579681877588,10
031300040606,6,True,72.18520093991413,280.7722488443539,10
031300040606,24,True,97.90786277835291,451.11587705217613,10
031300040606,72,True,124.29649647742872,543.3900671565747,10
031300040607,1,True,43.35679313195942,130.0697434343373,10
031300040607,3,True,60.49599953704515,201.66042744204995,10
031300040607,6,True,72.03092866378887,274.4051506687619,10
031300040607,24,True,97.69684857613258,445.3894220205365,10
031300040607,72,True,124.58968771190824,538.4405150155321,10
031300040701,1,True,43.837753113591134,129.32968537092356,10
031300040701,3,True,60.87990084776148,204.75592988789478,10
031300040701,6,True,72.33899798582578,279.22675738363665,10
031300040701,24,True,97.89953657260008,446.11396449507123,10
031300040701,72,True,123.97969392767392,537.4758976369206,10
031300040702,1,True,43.84396152537412,127.03059912236446,10
031300040702,3,True,61.05470172501481,196.13469863488848,10
031300040702,6,True,72.39487458649144,266.6261112236644,10
031300040702,24,True,97.5472944378448,434.52918577857855,10
031300040702,72,True,124.28650276134869,525.9700880806356,10
031300040703,1,True,43.85193267753379,127.7883235265209,10
031300040703,3,True,60.742458644918734,201.70716493727738,10
031300040703,6,True,72.04177213759209,273.73875234327295,10
031300040703,24,True,97.53245748020757,435.05396084657804,10
031300040703,72,True,123.6118965918339,525.2982765097861,10
031300040709,1,True,43.79382256163229,129.48553857227913,10
031300040709,3,True,60.40815041101513,209.34818515887974,10
031300040709,6,True,71.72385842100414,283.38656357228797,10
031300040709,24,True,97.56571693281623,437.447445230491,10
031300040709,72,True,122.97773915229985,527.5699986882488,10
031300040710,1,True,43.59887336972986,127.9477051167464,10
031300040710,3,True,60.01809414416551,204.03218013653924,10
031300040710,6,True,71.12773109076053,274.6811396970983,10
031300040710,24,True,96.79239661415913,425.0945399630322,10
031300040710,72,True,122.37413818271934,513.0816065764269,10
031300040801,1,True,43.61771413195375,129.95105206338886,10
031300040801,3,True,59.91174837904111,211.69660017719087,10
031300040801,6,True,71.09940991389219,284.52051999718356,10
031300040801,24,True,97.03317379386935,429.20966601443973,10
031300040801,72,True,122.11585663953913,517.5113114761119,10
031300120101,1,True,44.180002427282325,137.80396615166535,10
031300120101,3,True,61.5233531379809,227.17703723476401,10
031300120101,6,True,73.40381512711834,310.3892650266912,10
031300120101,24,True,99.31735001476335,478.6667265770899,10
031300120101,72,True,124.4408857100064,575.3493559055629,10
031300120102,1,True,44.374064118257515,142.2335957803718,10
031300120102,3,True,62.11268431540945,236.57057787567035,10
