catalog_event_id,matched_flood_report_count,matched_flash_flood_count,matched_property_damage_usd,matched_crop_damage_usd,matched_direct_deaths,matched_direct_injuries
AL-RF-20170405-0359,0,0,0.0,0.0,0.0,0.0
AL-RF-20170521-0360,8,8,0.0,0.0,0.0,0.0
AL-RF-20170528-0361,0,0,0.0,0.0,0.0,0.0
AL-RF-20170624-0362,28,23,570000.0,0.0,0.0,0.0
AL-RF-20170630-0363,6,0,0.0,0.0,0.0,0.0
AL-RF-20170728-0364,6,6,0.0,0.0,0.0,0.0
AL-RF-20170805-0365,4,3,0.0,0.0,0.0,0.0
AL-RF-20170808-0366,12,9,0.0,0.0,0.0,0.0
AL-RF-20170811-0367,36,29,0.0,0.0,0.0,0.0
AL-RF-20170830-0368,6,5,0.0,0.0,0.0,0.0
AL-RF-20170831-0369,4,3,0.0,0.0,0.0,0.0
AL-RF-20171008-0370,10,3,19513000.0,0.0,0.0,0.0
AL-RF-20171022-0371,8,8,140000.0,0.0,0.0,0.0
AL-RF-20180212-0372,4,0,5000.0,0.0,0.0,0.0
AL-RF-20180415-0373,5,5,1325000.0,0.0,0.0,1.0
AL-RF-20180423-0374,0,0,0.0,0.0,0.0,0.0
AL-RF-20180523-0375,2,2,0.0,0.0,0.0,0.0
AL-RF-20180530-0376,10,10,0.0,0.0,0.0,0.0
AL-RF-20180616-0377,3,2,0.0,0.0,0.0,0.0
AL-RF-20180617-0378,2,2,0.0,0.0,0.0,0.0
AL-RF-20180624-0379,0,0,0.0,0.0,0.0,0.0
AL-RF-20180628-0380,0,0,0.0,0.0,0.0,0.0
AL-RF-20180716-0381,2,2,0.0,0.0,0.0,0.0
AL-RF-20180716-0382,2,2,0.0,0.0,0.0,0.0
AL-RF-20180719-0383,0,0,0.0,0.0,0.0,0.0
AL-RF-20180801-0384,9,5,0.0,0.0,0.0,0.0
AL-RF-20180905-0385,17,12,85000.0,0.0,0.0,0.0
AL-RF-20180926-0386,2,2,0.0,0.0,0.0,0.0
AL-RF-20181011-0387,1,0,0.0,0.0,0.0,0.0
AL-RF-20181108-0388,3,2,1000.0,0.0,0.0,0.0
AL-RF-20181202-0389,1,1,0.0,0.0,0.0,0.0
AL-RF-20181228-0390,3,3,800000.0,0.0,0.0,0.0
AL-RF-20190123-0391,11,6,100000.0,0.0,0.0,0.0
AL-RF-20190223-0392,55,3,0.0,0.0,1.0,1.0
AL-RF-20190414-0393,0,0,0.0,0.0,0.0,0.0
AL-RF-20190419-0394,0,0,0.0,0.0,0.0,0.0
AL-RF-20190607-0395,1,1,0.0,0.0,0.0,0.0
AL-RF-20190717-0396,1,1,0.0,0.0,0.0,0.0
AL-RF-20190825-0397,11,11,0.0,0.0,0.0,0.0
AL-RF-20191006-0398,0,0,0.0,0.0,0.0,0.0
AL-RF-20191026-0399,0,0,0.0,0.0,0.0,0.0
AL-RF-20191030-0400,0,0,0.0,0.0,0.0,0.0
AL-RF-20191201-0401,13,11,0.0,0.0,0.0,0.0
AL-RF-20200111-0402,1,0,0.0,0.0,0.0,0.0
AL-RF-20200114-0403,1,0,0.0,0.0,0.0,0.0
